id;tps;delta;u;uplust;pi
1;2.94600810426021;1;0;5;0.163403423441206
2;2.94600810426021;1;0.5;5.5;0.182692969462955
3;2.94600810426021;1;1;6;0.199553763763863
4;2.94600810426021;1;1.5;6.5;0.356940027090266
5;2.94600810426021;1;2;7;0.387566097653743
6;2.94600810426021;1;2.5;7.5;0.580386558848637
7;6.17402256050816;0;0;5;0.281876832656717
8;6.17402256050816;0;0.5;5.5;0.312259630449017
9;6.17402256050816;0;1;6;0.337789671135824
10;6.17402256050816;0;1.5;6.5;0.584515725493655
11;6.17402256050816;0;2;7;0.620960552131441
12;6.17402256050816;0;2.5;7.5;0.863726585672586
13;6.17402256050816;0;3;8;0.891899490168572
14;6.17402256050816;0;3.5;8.5;0.746218568269586
15;6.17402256050816;0;4;9;0.770103314144963
16;6.17402256050816;0;4.5;9.5;0.696517657372803
17;6.17402256050816;0;5;10;0.714284909825814
18;6.17402256050816;0;5.5;10.5;0.590021840542235
19;6.17402256050816;0;6;11;0.599794101347516
20;0.876136239185193;0;0;5;0.263608665085349
21;0.876136239185193;0;0.5;5.5;0.293095592560182
22;4.00832329427226;0;0;5;0.0711751772335754
23;4.00832329427226;0;0.5;5.5;0.0799369544574503
24;4.00832329427226;0;1;6;0.107613461257991
25;4.00832329427226;0;1.5;6.5;0.117818795128994
26;4.00832329427226;0;2;7;0.127862441918774
27;4.00832329427226;0;2.5;7.5;0.131945350155789
28;4.00832329427226;0;3;8;0.141246749163016
29;4.00832329427226;0;3.5;8.5;0.279368130399068
30;4.00832329427226;0;4;9;0.305833025173206
31;9.04884459533457;0;0;5;0.0667679694394826
32;9.04884459533457;0;0.5;5.5;0.0749808267643696
33;9.04884459533457;0;1;6;0.134003942314285
34;9.04884459533457;0;1.5;6.5;0.148329181576043
35;9.04884459533457;0;2;7;0.178909491863571
36;9.04884459533457;0;2.5;7.5;0.196146177797455
37;9.04884459533457;0;3;8;0.213644203309289
38;9.04884459533457;0;3.5;8.5;0.196003132202563
39;9.04884459533457;0;4;9;0.209964062965555
40;9.04884459533457;0;4.5;9.5;0.169436691816876
41;9.04884459533457;0;5;10;0.177911244435156
42;9.04884459533457;0;5.5;10.5;0.152159819024359
43;9.04884459533457;0;6;11;0.235567080695309
44;9.04884459533457;0;6.5;11.5;0.248633461872032
45;9.04884459533457;0;7;12;0.261782623295524
46;9.04884459533457;0;7.5;12.5;0.319848838833117
47;9.04884459533457;0;8;13;0.337591353483883
48;9.04884459533457;0;8.5;13.5;0.391564341804706
49;9.04884459533457;0;9;14;0.413015603342524
50;0.00273792574745373;0;0;5;0.231664496766869
51;1.91381009747016;0;0;5;0.422593347058004
52;1.91381009747016;0;0.5;5.5;0.463416529828863
53;1.91381009747016;0;1;6;0.68388234675732
54;1.91381009747016;0;1.5;6.5;0.720837445829498
55;5.03778337531486;0;0;5;0.123707951081186
56;5.03778337531486;0;0.5;5.5;0.138477579501733
57;5.03778337531486;0;1;6;0.147753696656419
58;5.03778337531486;0;1.5;6.5;0.159623645142485
59;5.03778337531486;0;2;7;0.170846432962073
60;5.03778337531486;0;2.5;7.5;0.159984143174145
61;5.03778337531486;0;3;8;0.168118688789292
62;5.03778337531486;0;3.5;8.5;0.183743410456039
63;5.03778337531486;0;4;9;0.168140163985407
64;5.03778337531486;0;4.5;9.5;0.174226181665765
65;5.03778337531486;0;5;10;0.179959821366062
66;1.99320994414631;0;0;5;0.228390810065567
67;1.99320994414631;0;0.5;5.5;0.253507774963539
68;1.99320994414631;0;1;6;0.0809108675002442
69;1.99320994414631;0;1.5;6.5;0.0824349840064712
70;3.05004928266345;0;0;5;0.0372076263108131
71;3.05004928266345;0;0.5;5.5;0.0419122695138979
72;3.05004928266345;0;1;6;0.0461527264342382
73;3.05004928266345;0;1.5;6.5;0.0626451974631043
74;3.05004928266345;0;2;7;0.0387615145241553
75;3.05004928266345;0;2.5;7.5;0.0405624649131727
76;3.05004928266345;0;3;8;0.0422352750970064
77;0.00273792574745373;0;0;5;0.160189352564121
78;2.28890592487132;1;0;5;0.480888765835197
79;2.28890592487132;1;0.5;5.5;0.522380396112585
80;2.28890592487132;1;1;6;0.554104966760037
81;2.28890592487132;1;1.5;6.5;0.440937111346674
82;2.28890592487132;1;2;7;0.456331266095079
83;2.50520205892016;1;0;5;0.384412389759755
84;2.50520205892016;1;0.5;5.5;0.421030204469167
85;2.50520205892016;1;1;6;0.450168066809474
86;2.50520205892016;1;1.5;6.5;0.473983359701846
87;2.50520205892016;1;2;7;0.955218807209607
88;2.50520205892016;1;2.5;7.5;1
89;2.95148395575512;0;0;5;0.735074548480285
90;2.95148395575512;0;0.5;5.5;0.776797845684271
91;2.95148395575512;0;1;6;0.804127343278467
92;2.95148395575512;0;1.5;6.5;0.997112852863055
93;2.95148395575512;0;2;7;0.997828492836699
94;2.95148395575512;0;2.5;7.5;0.934984039148286
95;6.25342240718432;1;0;5;0.193366434720006
96;6.25342240718432;1;0.5;5.5;0.215876668549215
97;6.25342240718432;1;1;6;0.184956823054666
98;6.25342240718432;1;1.5;6.5;0.19777233222755
99;6.25342240718432;1;2;7;0.209423211715564
100;6.25342240718432;1;2.5;7.5;0.422570473979212
101;6.25342240718432;1;3;8;0.613988020484184
102;6.25342240718432;1;3.5;8.5;0.656984637379271
103;6.25342240718432;1;4;9;0.695729544114709
104;6.25342240718432;1;4.5;9.5;0.729344054108862
105;6.25342240718432;1;5;10;0.98575683086081
106;6.25342240718432;1;5.5;10.5;0.992295335252969
107;6.25342240718432;1;6;11;0.995752810427969
108;6.98444858175446;0;0;5;0.0312321393350116
109;6.98444858175446;0;0.5;5.5;0.034969130343525
110;6.98444858175446;0;1;6;0.0356202966646908
111;6.98444858175446;0;1.5;6.5;0.0383856265437154
112;6.98444858175446;0;2;7;0.0361961709620571
113;6.98444858175446;0;2.5;7.5;0.038149515184183
114;6.98444858175446;0;3;8;0.0400101300609227
115;6.98444858175446;0;3.5;8.5;0.0668288064668751
116;6.98444858175446;0;4;9;0.0717011184940552
117;6.98444858175446;0;4.5;9.5;0.119670521418859
118;6.98444858175446;0;5;10;0.107472428452304
119;6.98444858175446;0;5.5;10.5;0.116150414014011
120;6.98444858175446;0;6;11;0.0785745779566327
121;6.98444858175446;0;6.5;11.5;0.0825479849913461
122;6.19592596648779;0;0;5;0.0543834416638878
123;6.19592596648779;0;0.5;5.5;0.0613061558558405
124;6.19592596648779;0;1;6;0.0675648581818371
125;6.19592596648779;0;1.5;6.5;0.10018128315511
126;6.19592596648779;0;2;7;0.109781694105983
127;6.19592596648779;0;2.5;7.5;0.148597580993439
128;6.19592596648779;0;3;8;0.162948146117005
129;6.19592596648779;0;3.5;8.5;0.17764407752135
130;6.19592596648779;0;4;9;0.193233253118088
131;6.19592596648779;0;4.5;9.5;0.220994916674413
132;6.19592596648779;0;5;10;0.239469708265637
133;6.19592596648779;0;5.5;10.5;0.162963158599334
134;6.19592596648779;0;6;11;0.171894181876355
135;3.00076661920929;0;0;5;0.420350202870606
136;3.00076661920929;0;0.5;5.5;0.461535247065432
137;3.00076661920929;0;1;6;0.494874493131237
138;3.00076661920929;0;1.5;6.5;0.465431146277381
139;3.00076661920929;0;2;7;0.525326308873572
140;3.00076661920929;0;2.5;7.5;0.549088323250657
141;3.00076661920929;0;3;8;0.485331355448631
142;4.65994962216625;1;0;5;0.251776867816892
143;4.65994962216625;1;0.5;5.5;0.279588766944474
144;4.65994962216625;1;1;6;0.296785516547299
145;4.65994962216625;1;1.5;6.5;0.318099390182318
146;4.65994962216625;1;2;7;0.650564588389978
147;4.65994962216625;1;2.5;7.5;0.69463810447566
148;4.65994962216625;1;3;8;0.64889581844954
149;4.65994962216625;1;3.5;8.5;0.683445204126258
150;4.65994962216625;1;4;9;0.930312465189244
151;4.65994962216625;1;4.5;9.5;0.950585882139685
152;6.98444858175446;0;0;5;0.0209354579838464
153;6.98444858175446;0;0.5;5.5;0.0233058250002938
154;6.98444858175446;0;1;6;0.0253307360373349
155;6.98444858175446;0;1.5;6.5;0.0294418683590393
156;6.98444858175446;0;2;7;0.031478296110462
157;6.98444858175446;0;2.5;7.5;0.0354685720307172
158;6.98444858175446;0;3;8;0.037661167811619
159;6.98444858175446;0;3.5;8.5;0.0329126584486861
160;6.98444858175446;0;4;9;0.0342945961432501
161;6.98444858175446;0;4.5;9.5;0.0267312666870322
162;6.98444858175446;0;5;10;0.0272302117502217
163;6.98444858175446;0;5.5;10.5;0.0270755336547714
164;6.98444858175446;0;6;11;0.0274491241172
165;6.98444858175446;0;6.5;11.5;0.0331169424298426
166;6.87493155185631;1;0;5;0.383501238555842
167;6.87493155185631;1;0.5;5.5;0.422515557457363
168;6.87493155185631;1;1;6;0.45458239539064
169;6.87493155185631;1;1.5;6.5;0.99680888247995
170;6.87493155185631;1;2;7;0.912423006857778
171;6.87493155185631;1;2.5;7.5;0.929734713763619
172;6.87493155185631;1;3;8;0.940733150108947
173;6.87493155185631;1;3.5;8.5;0.951013882811277
174;6.87493155185631;1;4;9;0.957825713059856
175;6.87493155185631;1;4.5;9.5;0.949346022510667
176;6.87493155185631;1;5;10;0.954643014110681
177;6.87493155185631;1;5.5;10.5;0.831588801002398
178;6.87493155185631;1;6;11;0.790905494044601
179;6.87493155185631;1;6.5;11.5;0.794455839584054
180;5.90296791151024;0;0;5;0.171984360794887
181;5.90296791151024;0;0.5;5.5;0.192478828461033
182;5.90296791151024;0;1;6;0.210473224731054
183;5.90296791151024;0;1.5;6.5;0.192728965361041
184;5.90296791151024;0;2;7;0.222481303584986
185;5.90296791151024;0;2.5;7.5;0.236568649926554
186;5.90296791151024;0;3;8;0.193683472549389
187;5.90296791151024;0;3.5;8.5;0.20103373265834
188;5.90296791151024;0;4;9;0.207703138852232
189;5.90296791151024;0;4.5;9.5;0.102064614056224
190;5.90296791151024;0;5;10;0.100405561201902
191;5.90296791151024;0;5.5;10.5;0.150105278862596
192;0.980177417588435;0;0;5;0.491096862791284
193;0.980177417588435;0;0.5;5.5;0.533796552019567
194;2.95422188150257;0;0;5;0.215574911398563
195;2.95422188150257;0;0.5;5.5;0.240026506794417
196;2.95422188150257;0;1;6;0.219742954034614
197;2.95422188150257;0;1.5;6.5;0.234953879496154
198;2.95422188150257;0;2;7;0.184546433825283
199;2.95422188150257;0;2.5;7.5;0.191121672489018
200;1.05683933851714;0;0;5;0.0617468969128684
201;1.05683933851714;0;0.5;5.5;0.0693171197502457
202;1.05683933851714;0;1;6;0.0760442677399993
203;3.95630270507064;0;0;5;0.0947148301603291
204;3.95630270507064;0;0.5;5.5;0.106188572224753
205;3.95630270507064;0;1;6;0.116330117744829
206;3.95630270507064;0;1.5;6.5;0.138432244742786
207;3.95630270507064;0;2;7;0.149233063644685
208;3.95630270507064;0;2.5;7.5;0.223086104080825
209;3.95630270507064;0;3;8;0.241759522023399
210;3.95630270507064;0;3.5;8.5;0.358791350430324
211;1.97952031540905;0;0;5;0.22486064639992
212;1.97952031540905;0;0.5;5.5;0.250003358176868
213;1.97952031540905;0;1;6;0.265837192308612
214;1.97952031540905;0;1.5;6.5;0.285289490415912
215;6.07819515934728;0;0;5;0.326531886079151
216;6.07819515934728;0;0.5;5.5;0.360619370685107
217;6.07819515934728;0;1;6;0.398561611725943
218;6.07819515934728;0;1.5;6.5;0.424913515705055
219;6.07819515934728;0;2;7;0.447680516638067
220;6.07819515934728;0;2.5;7.5;0.352315981591966
221;6.07819515934728;0;3;8;0.351037720720936
222;6.07819515934728;0;3.5;8.5;0.311236635755348
223;6.07819515934728;0;4;9;0.316152123950262
224;6.07819515934728;0;4.5;9.5;0.319737301958665
225;6.07819515934728;0;5;10;0.250026963043771
226;6.07819515934728;0;5.5;10.5;0.248430080945741
227;6.07819515934728;0;6;11;0.246142448954034
228;2.9706494359873;0;0;5;0.635381722241498
229;2.9706494359873;0;0.5;5.5;0.678121341192987
230;2.9706494359873;0;1;6;0.803973332710626
231;2.9706494359873;0;1.5;6.5;0.828119891212941
232;2.9706494359873;0;2;7;0.85793087719627
233;2.9706494359873;0;2.5;7.5;0.872221832007958
234;1.60990033950279;0;0;5;0.486970565160494
235;1.60990033950279;0;0.5;5.5;0.530436450047168
236;1.60990033950279;0;1;6;0.564285358717191
237;1.60990033950279;0;1.5;6.5;0.65837873662231
238;3.76190997700142;1;0;5;0.0415345942759328
239;3.76190997700142;1;0.5;5.5;0.0465981103317531
240;3.76190997700142;1;1;6;0.0460356644779494
241;3.76190997700142;1;1.5;6.5;0.04964545790865
242;3.76190997700142;1;2;7;0.0585526151399931
243;3.76190997700142;1;2.5;7.5;0.0626562584713595
244;3.76190997700142;1;3;8;0.476511081887533
245;3.76190997700142;1;3.5;8.5;0.548413593147841
246;0.00273792574745373;0;0;5;0.534628170218695
247;1.97130653816668;0;0;5;0.107609746496695
248;1.97130653816668;0;0.5;5.5;0.120632780634947
249;1.97130653816668;0;1;6;0.132139890506171
250;1.97130653816668;0;1.5;6.5;0.139601478133078
251;0.00273792574745373;0;0;5;0.281019710056983
252;4.23830905705837;1;0;5;0.720284974406363
253;4.23830905705837;1;0.5;5.5;0.761294785189809
254;4.23830905705837;1;1;6;0.887920230475501
255;4.23830905705837;1;1.5;6.5;0.905714166755902
256;4.23830905705837;1;2;7;0.915956110604313
257;4.23830905705837;1;2.5;7.5;0.891097432401945
258;4.23830905705837;1;3;8;0.89550210176124
259;4.23830905705837;1;3.5;8.5;0.845277107638185
260;4.23830905705837;1;4;9;0.845298856899935
261;0.555798926733107;1;0;5;0.108220936084735
262;0.555798926733107;1;0.5;5.5;0.120762344087144
263;2.02880297886321;0;0;5;0.107816882579015
264;2.02880297886321;0;0.5;5.5;0.121112023717473
265;2.02880297886321;0;1;6;0.132572421729231
266;2.02880297886321;0;1.5;6.5;0.143851447243828
267;2.02880297886321;0;2;7;0.154644824528196
268;3.92618552184865;0;0;5;0.0587687950120823
269;3.92618552184865;0;0.5;5.5;0.0660296552629914
270;3.92618552184865;0;1;6;0.0725049948135146
271;3.92618552184865;0;1.5;6.5;0.0842112739598109
272;3.92618552184865;0;2;7;0.0909192264039065
273;3.92618552184865;0;2.5;7.5;0.118924375915601
274;3.92618552184865;0;3;8;0.128541405766529
275;3.92618552184865;0;3.5;8.5;0.129473878551893
276;7.51286825101303;1;0;5;0.274846672085463
277;7.51286825101303;1;0.5;5.5;0.304167223919151
278;7.51286825101303;1;1;6;0.321135257578559
279;7.51286825101303;1;1.5;6.5;0.343057734159857
280;7.51286825101303;1;2;7;0.362522920429752
281;7.51286825101303;1;2.5;7.5;0.347325166355715
